inegi_id,restaurant_name,restaurant_capacity,street_name,ext_number,int_number,coord_long,coord_lat,city
09016531210006012000000000U9,CASA OFELIA,6-10,ANATOLE FRANCE,129,0,-99.19750134,19.43271361,CDMX
09016722511000133001000000U9,RESTAURANTE MATISSE POLANCO,11-30,ANATOLE FRANCE,115,,-99.19753703,19.43199844,CDMX
09016722511003276001000000U3,LA CASA DEL PASTOR,0-5,ALFREDO DE MUSSET,3,,-99.19659798,19.43184196,CDMX
09016722219012443002000000U8,SNOB BISTRO,11-30,PRESIDENTE MASARYK,360,0,-99.19721163,19.43164989,CDMX
09016722219009382000000000U3,NAUTILUS,11-30,PRESIDENTE MASARYK,360,,-99.19721163,19.43164989,CDMX
09016722110002984001000000M4,KLEINS,6-10,PRESIDENTE MASARYK,360,2,-99.19733523,19.43165882,CDMX
09016722511003525000027772M3,SONORA GRILL,0-5,ALFREDO DE MUSSET,3,,-99.19644515,19.43172772,CDMX
09016722110004093000028189M2,MR SUSHI MASARYK,0-5,PRESIDENTE MASARYK,354,,-99.19636363,19.43158858,CDMX
09016722511005693000000000U7,LA UNICA,51-100,ANATOLE FRANCE,95,0,-99.19766744,19.43151976,CDMX
09016722511009471000000000U4,JAWA RESTAURANT DE INDONESIA,0-5,ALEJANDRO DUMAS,125,6,-99.19569474,19.43202775,CDMX
09016722516001661000000000M7,PASTA DE ZERO,0-5,ALEJANDRO DUMAS,125,910,-99.19568986,19.43202760,CDMX
09016722511009591000000000U9,PIZZA TONDA,0-5,ALEJANDRO DUMAS,125,2,-99.19568986,19.43202760,CDMX
09016722310000491000000000U8,QUERIDA COMIDA,0-5,ALEJANDRO DUMAS,125,1,-99.19568986,19.43202760,CDMX
09016722511002945002000000U4,RESTAURANTE EL CAMBALACHE POLANCO,0-5,ALEJANDRO DUMAS,122,0,-99.19577579,19.43181949,CDMX
09016722110001073000021918S7,SUSHI ROLL POLANQUITO,0-5,OSCAR WILDE,20,,-99.19756372,19.43112533,CDMX
09016722219012193001000000U9,EL POLANQUITO,6-10,OSCAR WILDE,9,10,-99.19734447,19.43105371,CDMX
09016722514007641000000000U8,PUESTO DE TORTAS,0-5,ALEJANDRO DUMAS,0,,-99.19563839,19.43356715,CDMX
09016722511001603000070652M6,RESTAURANTE DE PIZZAS,31-50,JULIO VERNE,112,27,-99.19599858,19.43124570,CDMX
09016722511003151001000000U8,TULIA,0-5,ANATOLE FRANCE,20,,-99.19762582,19.43104761,CDMX
09016722511003565001000000M9,FOGO DE CHAO CHURRASCARIA,11-30,ALEJANDRO DUMAS,105,0,-99.19576741,19.43133968,CDMX
09016722512000792000000000U0,RESTAURANT COMIDA GRIEGA LA OUZERIA,11-30,JULIO VERNE,92,0,-99.19603214,19.43097685,CDMX
09016722511006751000039698S2,LE PAIN QUOTIDIEN POLANCO,0-5,OSCAR WILDE,30,,-99.19736774,19.43075738,CDMX
09016722511010143000000000U6,RESTAURANTE JAPONEZ KAI,11-30,Anatole France,20,,-99.19766188,19.43080389,CDMX
09016722511001414000000000U2,PORTER STEAK HOUSE & SEAFOOD CHICAGO S FINEST,0-5,JULIO VERNE,102,,-99.19630377,19.43080056,CDMX
09016722512001312000000000M6,RESTAURANTE DEL MAR SINALOENSE,6-10,VIRGILIO,9,,-99.19672538,19.43064532,CDMX
09016722511007151000000000U0,RESTAURANTE PUJOL,0-5,ALFRED TENNYSON,133,0,-99.19492273,19.43244649,CDMX
09016722512001522000000000S0,RESTAURANTE DEL MAR SINALOENSE,6-10,Julio Verne,93,,-99.19621860,19.43075121,CDMX
09016722511008125000000000U7,RESTAURANTE SLIDERS,51-100,VIRGILIO,0,,-99.19665868,19.43062610,CDMX
09016722512001383000000000U7,MARISQUERIA EL GOLFO,11-30,VIRGILIO,90,,-99.19686111,19.43058432,CDMX
09016722511007755000024076S2,RESTAURANTE LAMPUGA,0-5,ANATOLE FRANCE,78,,-99.19782609,19.43072026,CDMX
09016722511004385001024076S1,RESTAURANTE PROSECCO POLANCO,0-5,ANATOLE FRANCE,7,,-99.19768478,19.43064911,CDMX
09016722511007346000000000U0,RESTAURANTE ANIMAL,0-5,PEDRO CALDERÓN DE LA BARCA,108,5,-99.19912342,19.43213867,CDMX
09016722511004335001024076S6,RESTAURANTE SYLVESTRE POLANCO,0-5,ANATOLE FRANCE,74,,-99.19783743,19.43066309,CDMX
09016722511007493000000000U0,RESTAURANTE COMIDA FRANCESA PARIS MEXICO ALEJANDRO DUMAS,31-50,JULIO VERNE,93,,-99.19635161,19.43056964,CDMX
09016722110002213000000000U8,BELLO PUERTO,11-30,JULIO VERNE,,0,-99.19648082,19.43041929,CDMX
09016722511004963000000000U5,SUSHI BATTA,6-10,JULIO VERNE,90,0,-99.19660732,19.43039551,CDMX
09016722517001832000000000U2,PIZZA ROCO SIMONA,6-10,OSCAR WILDE,8,,-99.19718982,19.43035217,CDMX
09016722511003505001000000U5,CATAMUNDI,31-50,ALEJANDRO DUMAS,97,0,-99.19585196,19.43061654,CDMX
09016722511001473000000000U8,LIMANTOUR,11-30,OSCAR WILDE,9,,-99.19705392,19.43032370,CDMX
09016722511005712000000000U5,BASICO RESTAURANT,11-30,OSCAR WILDE,8,,-99.19717442,19.43030887,CDMX
09016722110001913001000000U4,BISTRO BEC RESTAURANTE,11-30,VIRGILIO,8,,-99.19768116,19.43036481,CDMX
09016722511001723001000000U6,BRASSI RESTAURANTE,31-50,VIRGILIO,8,0,-99.19768116,19.43036481,CDMX
09016722511001593001000000U3,BUTCHER AND SONS POLANCO,11-30,OSCAR WILDE,8,,-99.19716087,19.43027075,CDMX
09016722511004485001024076S9,RESTAURANTE NOBU POLANCO,0-5,ANATOLE FRANCE,74,,-99.19788849,19.43040587,CDMX
09016722110003385001000000M3,RESTAURANTE TORI TORI,11-30,VIRGILIO,71,,-99.19771443,19.43033279,CDMX
09016722110002063001000000U7,NON SOLO PASTA,6-10,JULIO VERNE,89,,-99.19659442,19.43025221,CDMX
09016722517002661000000000U4,FABIANAS PIZZA,0-5,Oscar Wilde,8,0,-99.19713582,19.43020030,CDMX
09016722511005633000000000U3,RESTAURANTE DON PLING,11-30,ANATOLE FRANCE,70,0,-99.19790738,19.43031070,CDMX
09016722511008153000000000U9,RESTAURANTE LA SOTO MAYOR,11-30,ANATOLE FRANCE,70,,-99.19790738,19.43031070,CDMX
09016722511009782000000000U4,RESTAURANTE LA OTILIA,6-10,JUAN DE LAFONTAINE,78,,-99.19858188,19.43063028,CDMX
09016722511006483000000000U2,RESTAURANTE ATIPICO,6-10,OSCAR WILDE,9,0,-99.19696394,19.43012209,CDMX
09016722219009242000000000U9,PACIFICA,31-50,ALEJANDRO DUMAS,77,0,-99.19588998,19.43029125,CDMX
09016722512000994000000000U2,VILLA RICA RESTAURANT,11-30,VIRGILIO,93,,-99.19605862,19.43015742,CDMX
09016722511006523000000000U5,L ENTRECOT,11-30,EMILIO CASTELAR,121,,-99.19745513,19.42998341,CDMX
09016722110002253000000000U4,RESTAURANTE CASA PORTUGUESA,31-50,EMILIO CASTELAR,121,0,-99.19745513,19.42998341,CDMX
09016722511004803000000000U3,MORA MORA,31-50,EDGAR ALLAN POE,94,,-99.19983253,19.43276591,CDMX
09016722516001351000000000U5,RESTAURANTE LA POLANQUEÑA,11-30,ALEJANDRO DUMAS,71,,-99.19591429,19.43008336,CDMX
09016722511003311001000000U8,COMEDOR JACINTA,31-50,VIRGILIO,40,,-99.19613933,19.42998019,CDMX
09016722511004813000000000U2,EMILIO RESTAURANTE,31-50,EMILIO CASTELAR,107,,-99.19649360,19.42986974,CDMX
09016722219007481001000000U5,RESTAURANTE FRANCESA IVOIRE,31-50,EMILIO CASTELAR,107,,-99.19649360,19.42986974,CDMX
09016722511010133000000000U7,KARPOS,11-30,Emilio Castelar,135,,-99.19825539,19.43009651,CDMX
09016722511002304001000000M4,RESTAURANTE MANDOLINA,51-100,EMILIO CASTELAR,135,,-99.19825540,19.43009651,CDMX
09016722511002473002000000S7,RESTAURANTE EL JAPONEZ,11-30,EMILIO CASTELAR,135,,-99.19825540,19.43009651,CDMX
09016722219012253001002870S1,50 FRIENDS POLANCO,0-5,EMILIO CASTELAR,95,,-99.19640014,19.42985895,CDMX
09016722110001063000000000U8,SPUNTINO,11-30,ALEJANDRO DUMAS,95,0,-99.19614276,19.42987831,CDMX
09016722516001503000050948S1,THE FOOD BOX,11-30,EUGENIO SUE,311,,-99.19419168,19.43160101,CDMX
09016722511008203000000000U2,CASA OPENMINDER,11-30,EUGENIO SUE,311,,-99.19419168,19.43160101,CDMX
09016722511007955000000000S8,RESTAURANTE ILIOS POLANCO,51-100,EUGENIO SUE,311,3,-99.19419168,19.43160101,CDMX
09016722511004703000000000U5,GIN GIN KITCHEN BAR,11-30,PEDRO CALDERON DE LA BARCA,78,1,-99.19928100,19.43058026,CDMX
09016722511004833000000000U0,MANATAW RESTAURANTE,11-30,EMILIO CASTELAR,149,,-99.19882679,19.43018002,CDMX
09016722511010213000000000U7,ISOLA RISTORANTE ITALIANO,11-30,EMILIO CASTELAR,149,,-99.19882679,19.43018002,CDMX
09016722219012173001000000U1,RESTAURANTE COMIDA ESPAÑOLA LA MALLORQUINA,31-50,ALFRED TENNYSON,65,0,-99.19524486,19.43003438,CDMX
09016722511010203000000000U8,11 11 RESTAURANTE COMIDA INTERNACIONAL,11-30,PEDRO CALDERON DE LA BARCA,72,,-99.19930424,19.43040857,CDMX
09016722110003675001000000U7,L OSTERIA DEL BECCO,31-50,OLIVER GOLDSMITH,103,,-99.20053233,19.43219893,CDMX
09016722511001365002000000U6,LA BUENA BARRA MASARYK,0-5,ARISTOTELES,124,8,-99.19350985,19.43170905,CDMX
09016722511009653000000000U7,RESTAURANTE ITALIANO PAROLE,11-30,EMILIO CASTELAR,163,,-99.19970274,19.43030600,CDMX
09016722511000513000000000U2,BLANCO CASTELAR,51-100,EMILIO CASTELAR,163,163,-99.19970274,19.43030600,CDMX
09016722511009485000000000U4,CUERNO,51-100,ARISTOTELES,124,,-99.19351835,19.43162439,CDMX
09016722511008195000000000U0,COLMILLO MASARYK POLANCO,51-100,ARISTOTELES,124,,-99.19351835,19.43162439,CDMX
09016722212009082000000000U4,PIZZAPOLL,0-5,EDGAR ALLAN POE,185,0,-99.20005652,19.43072194,CDMX
09016722511008353000000000U5,RESTAURANTE ONA,11-30,EDGAR ALLAN POE,185,,-99.20006233,19.43068525,CDMX
09016722330000261000000000U3,RESTAURANTE FOOD Y WINE TABLE,0-5,EDGAR ALLAN POE,42,,-99.20007378,19.43061302,CDMX
09016722511007191000000000U0,RESTARANTE TABOO,11-30,PRESIDENTE MASARYK,298,,-99.19346288,19.43140835,CDMX
09016722511004843000000000U9,DANTE BRASA Y FUEGO,11-30,EDGAR ALLAN POE,41,,-99.20001426,19.43046745,CDMX
09016722511007355000000000U1,KYU MEXICO,0-5,OLIVER GOLDSMITH,66,,-99.20066813,19.43172455,CDMX
09016722511007315000000000U5,ROSA NEGRA,0-5,PRESIDENTE MASARYK,298,,-99.19341365,19.43140867,CDMX
09016722511007692000001355M7,ASADOR CASTELLANO,0-5,AVENIDA HOMERO,538,,-99.19517384,19.43581761,CDMX
09016722511010301000038132S0,NORESTE GRILL SUCURSAL COMISARIATO CDMX,0-5,Juan De Lafontaine,121,,-99.19869710,19.42922653,CDMX
09016722511005033000000000U6,BARRA DE FRANK,11-30,EMILIO CASTELAR,195,0,-99.20052246,19.43079663,CDMX
09016722511009053000000000U0,VENTA DE COMIDA JAPONES IWASHI SUSHI,11-30,EMILIO CASTELAR,204,,-99.20092224,19.43097379,CDMX
09016722514008291000000000U1,TAQUERIA CASTELAR,0-5,Emilio Castelar,215,,-99.20103704,19.43124284,CDMX
09016722512001452000000000U0,EL ARRIMON,6-10,EMILIO CASTELAR,204,,-99.20106777,19.43111694,CDMX
09016722219008581000000000U1,TAQUERIA EL TURIX,11-30,EMILIO CASTELAR,208,0,-99.20122465,19.43125845,CDMX
09016722511008983000000000U9,CAFETERIA BANDIDO,11-30,EMILIO CASTELAR,208,,-99.20124110,19.43126061,CDMX
09016722511004974000000000U2,ARTURO S RESTAURANT,6-10,EMILIO CASTELAR,227,2,-99.20135732,19.43152755,CDMX
09016465112002131000000000U9,RESTAURANTE CHAMBAO FASHION GRILL HOUSE,11-30,PRESIDENTE MASARYK,430,,-99.20154965,19.43203176,CDMX
09016722511009044000000000U9,CENTANNI RISTORANTE VIVO Y TERRAZA,31-50,JULIO VERNE,38,,-99.19729438,19.42825061,CDMX
09016722219009982000000000U0,RESTAURANTE MYTHOS,11-30,ISAAC NEWTON,7,3,-99.19332621,19.42972811,CDMX
09016722511001193001000000U2,RESTAURANTE EL CHANCLAS,6-10,ISAAC NEWTON,18,,-99.19304944,19.43007397,CDMX
09016722511009563000000000U8,RESTAURANTE EKILORE,11-30,ARISTOTELES,239,,-99.19312484,19.43534153,CDMX
09016722511003146002000000U8,LA LOGGIA,11-30,EMILIO CASTELAR,44,,-99.19363033,19.42930714,CDMX
09016722511005702000000000U6,BARRITA DE MAR,11-30,LUIS GONZAGA URBINA,4,0,-99.19438601,19.42873255,CDMX
09016722110001933000000000U2,RESTAURANTE LA ACEITUNA,31-50,LUIS GONZAGA URBINA,4,,-99.19433907,19.42872624,CDMX
09016722110004006000000000U4,ESTORIL POLANCO,0-5,ALEJANDRO DUMAS,24,,-99.19640847,19.42794774,CDMX
09016722110001133000000000U9,PUBBELLY SUSHI,0-5,PRESIDENTE MASARYK,275,,-99.19217587,19.43154540,CDMX
09016722512001431000000000U4,MARISQUERIA EL ARRIMON,0-5,ENRIQUE IBSEN,43,,-99.20154120,19.43045015,CDMX
09016722511003933001002870M9,RELACIONES GASTRONOMICAS,0-5,PEDRO CALDERÓN DE LA BARCA,27,,-99.19955665,19.42834765,CDMX
09016722511001083000000000U5,RESTAURANTE ROMINA,11-30,HOMERO,714,,-99.19288033,19.43556489,CDMX
09016722511009851000000000U7,SERVICIO DE RESTAURANTE TAPAS TOGO,0-5,ISAAC NEWTON,35,,-99.19227010,19.43053498,CDMX
09016722511004025001000000U3,PRENDES,0-5,MOLIERE,222,,-99.20155955,19.43509627,CDMX
09016722511007293000000000U4,FRATELLI LA FUBALA,11-30,GALILEO,31,0,-99.19302463,19.42932263,CDMX
09016722511008813000000000U8,RESTAURANTE MAISON BELEM,11-30,GALILEO,31,,-99.19302463,19.42932263,CDMX
09016722515008373000000000S4,RESTAURANTE FOUGASSE,11-30,EMILIO CASTELAR,34,,-99.19299155,19.42921903,CDMX
09016722515008641000000000U4,RESTAURANTE RICHEESE,0-5,ISAAC NEWTON,53,,-99.19196117,19.43079429,CDMX
09016722517001931000054572S2,PAPA JOHNS,0-5,MOLIERE,237,,-99.20123158,19.43576281,CDMX
09016722110003986001000000U8,RESTAURANTE VILLA MARIA,31-50,HOMERO,704,0,-99.19260348,19.43555351,CDMX
09004722511000765100004193S4,RESTAURANTE EL BAJIO COCINA MEXICANA,0-5,ALEJANDRO DUMAS,7,,-99.19636062,19.42751514,CDMX
09016722511003196002000000U3,RESTAURANTE TORI TORI,0-5,TEMISTOCLES,61,,-99.19211957,19.43040444,CDMX
09016722511008233000000000U9,RESTAURANTE ULTRAMARINOS,11-30,CHARLES DICKENS,33,,-99.20178703,19.43020927,CDMX
09016722110001623000000000U9,SERVICIOS DE COMEDOR GRUPO MEXICO,6-10,ENRIQUE IBSEN,15,0,-99.20171253,19.42990951,CDMX
09016541510005331000000000U5,TECNOLOGIA PARA RESTAURANTE POLO PAY,0-5,CAMPOS ELISEOS,345,,-99.19996108,19.42818410,CDMX
09016722219010772000000000U2,LA POSTRERIA RESTAURANTE,6-10,ALEJANDRO DUMAS,359,0,-99.19542918,19.43765008,CDMX
09016722514000481000000000U6,LA ESPAÑOLA,0-5,ALEJANDRO DUMAS,359,0,-99.19542918,19.43765008,CDMX
09016722110001563000000000U7,RESTAURANTE TAKOS TAKOS,11-30,CAMPOS ELISEOS,8,0,-99.20053585,19.42853824,CDMX
09016722511003063000000000U5,RESTAURANTE QUINTONIL,31-50,ISAAC NEWTON,57,,-99.19171208,19.43099130,CDMX
09016722212009032000000000S9,TOMMY PIZZA,6-10,PRESIDENTE MASARYK,249,,-99.19145856,19.43167612,CDMX
09016722511007264000000000U5,CAMPOMAR,0-5,ISAAC NEWTON,62,,-99.19151481,19.43135225,CDMX
09016722516001821000000000U7,COMIDA JAPONESA SUSHI BAR,0-5,TEMISTOCLES,34,,-99.19229300,19.42961727,CDMX
09016722511007843000000000U6,DAWAT,11-30,EJERCITO NACIONAL MEXICANO,676,,-99.19668967,19.43797136,CDMX
09016722110003234001000000U3,PREGO RISTORANTE,11-30,ALEJANDRO DUMAS,4,0,-99.19660765,19.42720685,CDMX
09016722516001901000000000U7,WING STOP,0-5,PRESIDENTE MASARYK,249,,-99.19136487,19.43178624,CDMX
09016722219008882000000000U3,RESTAURANTE LA HALLACA,11-30,EJERCITO NACIONAL MEXICANO,646,0,-99.19567804,19.43792535,CDMX
09016722511008224000000000U8,PRIME WINE,31-50,CAMPOS ELISEOS,223,,-99.19439918,19.42769242,CDMX
09016722110001893001000000U8,GAUCHO GRILL,11-30,TEMISTOCLES,37,,-99.19224787,19.42940785,CDMX
09016722511004743000000000U1,MAKOTO,31-50,CAMPOS ELISEOS,295,,-99.19681206,19.42707840,CDMX
09016722511009433000000000U4,RESTAURANTE SUVAI,11-30,CAMPOS ELISEOS,295,,-99.19681206,19.42707840,CDMX
09016722110002954000000000S7,LA CASA DE LOS ABUELOS,11-30,MOLIERE,325,,-99.20108049,19.43655833,CDMX
09016722110003605001000000U4,KARISMA RESTAURANTE BAR,11-30,CAMPOS ELISEOS,219,1,-99.19370223,19.42803001,CDMX
09016722518000131000000000U8,DE HARINA,6-10,EJERCITO NACIONAL MEXICANO,624,0,-99.19511507,19.43790257,CDMX
09016722511003851000000000U3,GIORNALE,6-10,EJERCITO NACIONAL MEXICANO,622,0,-99.19507689,19.43790145,CDMX
09016722110003515001000000U5,RESTAURANTE CASTILLOS DE ESPAÑA,31-50,EJERCITO NACIONAL MEXICANO,617,0,-99.19596754,19.43824633,CDMX
09016722219011452000000000U0,EL REFILON,6-10,MOLIERE,330,0,-99.20126022,19.43674312,CDMX
09016722110003996000003022M7,AU PIED DE COCHON,0-5,CAMPOS ELÍSEOS,218,,-99.19358459,19.42777837,CDMX
09016722511004284001003022S6,ALFREDO DI ROMA ,0-5,CAMPOS ELÍSEOS,218,,-99.19357525,19.42778006,CDMX
09016722110003274001003022S9,EL CHAPULIN,0-5,CAMPOS ELÍSEOS,218,,-99.19356076,19.42778267,CDMX
09016722110003775000003022S5,THE PALM,0-5,CAMPOS ELÍSEOS (AVENIDA EJERCITO NACIONAL),218,,-99.19356011,19.42778278,CDMX
09016722514000731000000000U4,TORTAS Y TACOS DON CUCO,0-5,EJERCITO NACIONAL MEXICANO,,,-99.19536636,19.43821669,CDMX
09016722511007773000003022S5,TOKOYA,0-5,CAMPOS ELÍSEOS,218,,-99.19353916,19.42778656,CDMX
09016722517002561000000000S6,BUDDHA CHICKEN,0-5,ARQUIMEDES,130,10,-99.19094385,19.43369696,CDMX
09016722110003966002000000U0,LOS BISQUETS BISQUETS OBREGÓN,0-5,MOLIERE,337,0,-99.20099775,19.43707007,CDMX
09016722110002093001000000U4,QUESADILLAS Y ANTOJITOS MARIA ISABEL,11-30,EMILIO CASTELAR,14,,-99.19202000,19.42909219,CDMX
09016722511002063001000000U6,MAN XIAN GE,6-10,MOLIERE,313,0,-99.20098997,19.43711815,CDMX
09016722514000871000000000U8,ANTOJITOS GABY,0-5,EJERCITO NACIONAL MEXICANO,0,0,-99.19498478,19.43819838,CDMX
09016722514000092001000000U1,BURRITOS MEXICO,6-10,ISAAC NEWTON,76,,-99.19079116,19.43182081,CDMX
09016722511003841000000000U4,COMA PIZZA,6-10,HORACIO,544,554,-99.19076559,19.43340437,CDMX
